"id","idcode1","code1","idcode2","code2","result","dataset"
"case-01-ORIG_case-01-NP-01","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-01","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author CB6AB3315634A1E4D11B091BA48B60BA 7E51EEA5FA101ED4DADE9AD3A7A072BB 2F809B10D1ABEDBF2EC288F851B3EBBB\n */\npublic class T01 {\n    public static void main(String[] args){\n        \n        for(int i = 0; i < 5; i++){\n            System.out.println(""Welcome To Java"");\n        }\n        \n    }\n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-02","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-02","\n/**\n *\n * @author 65FBEF05E01FAC390CB3FA073FB3E8CF (452BF208BF901322968557227B8F6EFE010)\n */\npublic class T01 {\n\n    public static void main(String[] args) {\n        for (int i = 0; i < 5; i++) {\n            System.out.println(""Welcome To Java"");\n        }\n    }\n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-03","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-03","\n\n/**\n *\n * @author CB6AB3315634A1E4D11B091BA48B60BA\n */\npublic class Nomor1_2451041557A22145B3701B0184109CAB013 {\n\n    /**\n     * @param args the command line arguments\n     */\n    public static void main(String[] args) {\n        for(int i=0;i<5;i++)\n        {\n            System .out.println(""Welcome To Java"");\n        }\n    }\n    \n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-04","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-04","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author 685903EF83F7A7C8A165F77EED160D9E\n */\npublic class T01 {\n    public static void main(String[] args) {\n        for (int i=0;i<5;i++){\n            System.out.println(""Welcome To Java"");\n        }\n    }\n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-05","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-05","public class T01\n{\n   public static void main(String[] args)\n   {\n      for(int i=0;i < 5;i++)\n      {\n         System.out.println(""Welcome To Java"");\n      }\n      \n   }\n}","0","IR-Plag"
"case-01-ORIG_case-01-NP-06","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-06","/**\n *\n * @author 92E0988C1682C76D4D307AA15EC8346E\n */\npublic class T01 {\n    public static void main(String[] args) {\n        for (int i = 0; i < 5; i++) {\n            System.out.println(""Welcome To Java"");\n        }\n    }\n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-07","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-07","\n\n/**\n *\n * @author 672CAF27F5363DC833BDA5099775E891\n */\npublic class Main {\n\n    /**\n     * @param args the command line arguments\n     */\n    public static void main(String[] args) {\n        String a = ""Welcome To Java"";\n        for(int i=0;i<6;i++)\n        {\n            System.out.println(a);\n        }\n        \n    }\n    \n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-08","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-08","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author 6ED61D4B80BB0F81937B32418E98ADCA A94652AA97C7211BA8954DD15A3CF838\n */\npublic class T01 {\n    public static void main(String[] args) {\n        for (int i = 0; i < 5; i++) {\n            System.out.println(""Welcome To Java"");\n        }\n    }\n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-09","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-09","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author 51BE04B11C5F2F5AD96A396632DC3F76\n */\npublic class t01 {\n\n    public static void main(String[] args) {\n        for (int i = 0; i < 5; i++) {\n            System.out.println(""Welcome To Java"");\n        }\n\n    }\n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-10","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-10","\n\npublic class Main {\n\n    public static void main(String[] args) {\n	    for(int i=0;i<5;i++){\n	        System.out.println(""Welcome To Java"");\n        }\n    }\n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-11","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-11","\n\n/**\n *\n * @author B00A50C448238A71ED479F81FA4D9066\n */\n\npublic class T01 {\n    public static void main(String[] args) {\n        for(int i = 0; i < 5; i++) {\n            System.out.println(""Welcome To Java"");\n        }\n    }\n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-12","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-12","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author 6968A2C57C3A4FEE8FADC79A80355E4D F13FFB0C4AF5E1CE7C646A5222FBC1E9 2451041557A22145B3701B0184109CAB035\n */\npublic class T01 {\n\n    public static void main(String[] args) {\n        for (int i = 0; i < 5; i++) {\n            System.out.println(""Welcome To Java"");\n        }\n    }\n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-13","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-13","\n\n/**\n *\n * @author 9BC88124A9BB1C629D5FFBCD81612170\n */\npublic class No1 {\n\n    /**\n     * @param args the command line arguments\n     */\n    public static void main(String[] args) {\n        // TODO code application logic here\n        System.out.println(""Welcome To Java"");\n        System.out.println(""Welcome To Java"");\n        System.out.println(""Welcome To Java"");\n        System.out.println(""Welcome To Java"");\n        System.out.println(""Welcome To Java"");\n    }\n    \n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-14","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-14","\n\nimport java.util.Scanner;\n\n/**\n *\n * @author 4900D0A19B6894A4A514E9FF3AFCC2C0\n */\npublic class Soal1 {\n    public static void main(String[] args) {\n        for(int i = 0; i<5; i++)    \n            System.out.println(""Welcome to Java"");\n        \n    }\n}\n","0","IR-Plag"
"case-01-ORIG_case-01-NP-15","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-NP-15","\n\n/**\n *\n * @author FD820A2B4461BDDD116C1518BC4B0F77 871C87F67A53ECC7201FF41AF0A05032\n */\npublic class T01 {\n\n    /**\n     * @param args the command line arguments\n     */\n    public static void main(String[] args) {\n        for(int i=0;i<5;i++)\n            System.out.println(""Welcome To Java"");\n    }\n    \n}\n","0","IR-Plag"
"case-01-ORIG_case-01-L1-01","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L1-01","/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author 19984DCAEA13176BBB694F62BA6B5B35\n */\npublic class L1 {\n\n    public static void main(String[] args) {\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n        System.out.println(""Welcome to Java"");\n    }\n\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L1-02","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L1-02","public class Main {\n\n    public static void main(String[] args) {\n        //print ""Welcome To Java""\n\n    System.out.println(""Welcome to Java"");\n    System.out.println(""Welcome to Java"");\n    System.out.println(""Welcome to Java"");\n    System.out.println(""Welcome to Java"");\n    System.out.println(""Welcome to Java"");\n\n    }\n}\n","1","IR-Plag"
"case-01-ORIG_case-01-L1-03","case-01-ORIG","\npublic class T1 {\n	public static void main(String[] args) {\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n		System.out.println(""Welcome to Java"");\n	}\n\n}\n","case-01-L1-03","\n\n\n\n/*\n * To change this license header, choose License Headers in Project Properties.\n * To change this template file, choose Tools | Templates\n * and open the template in the editor.\n */\n\n/**\n *\n * @author 020A6EC1A4D0C5BDB29FF826A462DA1C5D88CF08B60A4744AFFD95C61A0C3C7E\n */\npublic class Main {\n    public static void main(String[] args) { \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java""); \n            System.out.println(""Welcome to Java"");\n    }\n}\n","1","IR-Plag"
